"label","redshift","ebv","filename"
"SDSS J101054.72-002811.8",0.1817,0.048840657,"data/spec-0271-51883-0178.fits"
"SDSS J101036.21+005459.4",0.1202,0.03682737,"data/spec-0271-51883-0372.fits"
"SDSS J101053.82+002857.1",0.1163,0.03693124,"data/spec-0271-51883-0439.fits"
"SDSS J101010.98-002810.8",0.1128,0.054687835,"data/spec-0272-51941-0238.fits"
"SDSS J101017.41-003754.9",0.2185,0.06810638,"data/spec-0273-51957-0093.fits"
"SDSS J101040.42-004206.4",0.3644,0.06152366,"data/spec-0273-51957-0293.fits"
"SDSS J101046.03+003205.0",0.6137,0.07312019,"data/spec-0273-51957-0389.fits"
"SDSS J101032.83-003419.1",0.2266,0.050005164,"data/spec-0274-51913-0188.fits"
"SDSS J101007.74+005543.3",0.6427,0.046056397,"data/spec-0275-51910-0579.fits"
"SDSS J111100.60-005334.8",0.0904,0.039592408,"data/spec-0278-51900-0041.fits"
"SDSS J111106.26-010116.5",0.1095,0.036855653,"data/spec-0278-51900-0096.fits"
"SDSS J111100.63+001441.2",0.2445,0.028546967,"data/spec-0280-51612-0117.fits"
"SDSS J111138.24+004946.4",0.1951,0.026369913,"data/spec-0284-51943-0409.fits"
"SDSS J111147.64+004852.0",0.2088,0.01683485,"data/spec-0284-51943-0613.fits"
"SDSS J121212.59-010531.3",0.1183,0.033766255,"data/spec-0288-52000-0088.fits"
"SDSS J121217.85-000743.7",0.1728,0.03077937,"data/spec-0289-51990-0312.fits"
"SDSS J121245.74+005018.7",0.575,0.022851449,"data/spec-0289-51990-0531.fits"
"SDSS J131328.76-005804.2",0.2455,0.02381304,"data/spec-0293-51689-0007.fits"
"SDSS J131300.67+000125.0",0.1379,0.020291748,"data/spec-0294-51986-0438.fits"
"SDSS J131316.68+002923.2",0.2983,0.03205468,"data/spec-0295-51985-0322.fits"
"SDSS J131333.65-003936.4",0.4151,0.030752867,"data/spec-0298-51955-0114.fits"
"SDSS J131302.85+001649.8",0.1798,0.028726809,"data/spec-0299-51671-0625.fits"
"SDSS J131328.14-001016.8",0.5238,0.034972843,"data/spec-0300-51943-0111.fits"
"SDSS J141425.73-011352.7",0.1478,0.043590534,"data/spec-0304-51957-0285.fits"
"SDSS J141452.59+010905.4",0.2897,0.027950266,"data/spec-0305-51613-0584.fits"
"SDSS J141427.66-005614.8",0.3177,0.04712586,"data/spec-0306-51637-0251.fits"
"SDSS J141419.18-010647.4",0.1194,0.04578528,"data/spec-0308-51662-0008.fits"
"SDSS J141442.28+011302.9",0.7259,0.043483943,"data/spec-0308-51662-0445.fits"
"SDSS J151555.86-002021.7",0.2188,0.06300584,"data/spec-0310-51990-0240.fits"
"SDSS J151519.93+002905.0",0.1819,0.061417315,"data/spec-0310-51990-0589.fits"
"SDSS J151555.32+002027.3",0.4812,0.04949083,"data/spec-0311-51665-0466.fits"
"SDSS J111155.65-021407.0",0.2608,0.047113623,"data/spec-0326-52375-0384.fits"
"SDSS J111120.56-033337.4",0.1182,0.04210899,"data/spec-0327-52294-0216.fits"
"SDSS J111132.99-030231.6",0.1245,0.023442816,"data/spec-0328-52282-0179.fits"
"SDSS J121226.83-030902.3",0.1855,0.030223941,"data/spec-0332-52367-0134.fits"
"SDSS J121257.34-023313.1",0.1987,0.034466196,"data/spec-0334-51993-0346.fits"
"SDSS J121237.34-023200.1",0.2814,0.029863998,"data/spec-0335-52000-0035.fits"
"SDSS J121234.49-034158.1",0.2389,0.021848148,"data/spec-0337-51997-0045.fits"
"SDSS J131340.56-021455.2",0.4251,0.022772882,"data/spec-0339-51692-0548.fits"
"SDSS J131323.33-015941.9",0.3502,0.033743024,"data/spec-0341-51690-0595.fits"
"SDSS J151532.37-010811.6",0.1215,0.11855328,"data/spec-0342-51691-0081.fits"
"SDSS J151537.81-004419.9",0.3105,0.1057471,"data/spec-0342-51691-0299.fits"
"SDSS J151526.04+004615.3",0.5446,0.08625314,"data/spec-0342-51691-0510.fits"
"SDSS J171744.05+600835.6",0.1568,0.022173885,"data/spec-0353-51703-0568.fits"
"SDSS J171703.07+602115.6",0.3335,0.025108144,"data/spec-0354-51792-0159.fits"
"SDSS J171750.31+572954.8",0.1128,0.028361915,"data/spec-0355-51788-0475.fits"
"SDSS J171738.64+544208.6",0.3838,0.047996964,"data/spec-0360-51816-0555.fits"
"SDSS J212100.72-002834.1",0.5153,0.08292304,"data/spec-0371-52078-0312.fits"
"SDSS J212123.82-010630.6",0.1932,0.09280383,"data/spec-0372-52173-0139.fits"
"SDSS J212131.44+003757.0",0.3903,0.0505315,"data/spec-0372-52173-0422.fits"
"SDSS J222210.44-004330.5",0.4938,0.06832297,"data/spec-0375-52140-0188.fits"
"SDSS J222254.80-002826.7",0.1971,0.051219605,"data/spec-0377-52145-0155.fits"
"SDSS J222208.40-005359.4",0.3279,0.05112761,"data/spec-0377-52145-0294.fits"
"SDSS J232313.16+004911.8",0.1698,0.03868913,"data/spec-0384-51821-0411.fits"
