"label","redshift","ebv","filename"
"SDSS J101036.21+005459.4",0.1202,0.03682737,"data/spec-0271-51883-0372.fits"
"SDSS J101053.82+002857.1",0.1163,0.03693124,"data/spec-0271-51883-0439.fits"
"SDSS J101032.83-003419.1",0.2266,0.050005164,"data/spec-0274-51913-0188.fits"
"SDSS J111100.60-005334.8",0.0904,0.039592408,"data/spec-0278-51900-0041.fits"
"SDSS J141425.73-011352.7",0.1478,0.043590534,"data/spec-0304-51957-0285.fits"
"SDSS J141419.18-010647.4",0.1194,0.04578528,"data/spec-0308-51662-0008.fits"
"SDSS J111120.56-033337.4",0.1182,0.04210899,"data/spec-0327-52294-0216.fits"
"SDSS J111132.99-030231.6",0.1245,0.023442816,"data/spec-0328-52282-0179.fits"
"SDSS J121226.83-030902.3",0.1855,0.030223941,"data/spec-0332-52367-0134.fits"
"SDSS J151532.37-010811.6",0.1215,0.11855328,"data/spec-0342-51691-0081.fits"
"SDSS J171744.05+600835.6",0.1568,0.022173885,"data/spec-0353-51703-0568.fits"
"SDSS J171750.31+572954.8",0.1128,0.028361915,"data/spec-0355-51788-0475.fits"
"SDSS J000041.46+004129.5",0.1329,0.028126257,"data/spec-0394-51876-0332.fits"
"SDSS J030352.91-005417.5",0.1173,0.055348,"data/spec-0413-51929-0220.fits"
"SDSS J000052.56+153246.7",0.1175,0.06673772,"data/spec-0419-51868-0421.fits"
"SDSS J010105.73+144325.7",0.188,0.09116403,"data/spec-0421-51821-0157.fits"
"SDSS J020223.71+124717.7",0.0859,0.0812485,"data/spec-0427-51900-0138.fits"
"SDSS J070724.37+384731.8",0.0969,0.045646776,"data/spec-0433-51873-0626.fits"
"SDSS J070714.63+424520.3",0.1807,0.057456773,"data/spec-0434-51885-0437.fits"
"SDSS J080824.35+464300.6",0.1206,0.07374981,"data/spec-0438-51884-0189.fits"
"SDSS J080800.20+444216.3",0.1829,0.04177752,"data/spec-0439-51877-0153.fits"
"SDSS J080823.82+524054.9",0.117,0.036123063,"data/spec-0444-51883-0154.fits"
"SDSS J020224.24-081140.2",0.1001,0.037251547,"data/spec-0454-51908-0628.fits"
"SDSS J030328.26-072517.8",0.2075,0.08503766,"data/spec-0459-51924-0511.fits"
"SDSS J030323.14-054841.6",0.0848,0.05469172,"data/spec-0462-51909-0444.fits"
"SDSS J040401.59-065254.1",0.1705,0.08451294,"data/spec-0464-51908-0104.fits"
"SDSS J080835.09+010156.3",0.1106,0.04316956,"data/spec-0467-51901-0358.fits"
"SDSS J090925.36+592452.7",0.0956,0.019970318,"data/spec-0485-51909-0016.fits"
"SDSS J111113.01+645924.8",0.0776,0.03129763,"data/spec-0490-51929-0085.fits"
"SDSS J121204.81+670320.7",0.1796,0.019071473,"data/spec-0494-51915-0070.fits"
"SDSS J131351.22+654113.2",0.2063,0.0198918,"data/spec-0497-51989-0076.fits"
"SDSS J141414.38+635803.8",0.1328,0.01900749,"data/spec-0499-51988-0192.fits"
"SDSS J101021.26+013334.5",0.1436,0.039183047,"data/spec-0502-51957-0240.fits"
"SDSS J101000.37+013653.5",0.1068,0.03830367,"data/spec-0505-52317-0134.fits"
"SDSS J131342.67+014852.1",0.1439,0.030450331,"data/spec-0525-52295-0270.fits"
"SDSS J131339.95+030802.3",0.2409,0.02584813,"data/spec-0530-52026-0578.fits"
"SDSS J131321.85+013223.6",0.1731,0.033640146,"data/spec-0531-52028-0284.fits"
"SDSS J141431.58+021546.3",0.1797,0.03458657,"data/spec-0532-51993-0351.fits"
"SDSS J151520.90+015159.4",0.1826,0.05131877,"data/spec-0539-52017-0552.fits"
"SDSS J070754.00+342234.3",0.1499,0.04714989,"data/spec-0542-51993-0270.fits"
"SDSS J080837.32+392633.1",0.0656,0.045533754,"data/spec-0545-52202-0250.fits"
"SDSS J090954.08+521127.5",0.0848,0.015904993,"data/spec-0552-51992-0630.fits"
"SDSS J101008.59+600152.1",0.0511,0.009299322,"data/spec-0560-52296-0520.fits"
"SDSS J151504.21+043441.7",0.1114,0.042980585,"data/spec-0590-52057-0368.fits"
"SDSS J151531.01+031527.7",0.2056,0.048938178,"data/spec-0593-52026-0145.fits"
"SDSS J121206.60+652925.1",0.1071,0.019767804,"data/spec-0600-52317-0637.fits"
"SDSS J131335.63+631400.0",0.1563,0.020309255,"data/spec-0604-52079-0118.fits"
"SDSS J141421.68+592943.9",0.1519,0.008964789,"data/spec-0610-52056-0409.fits"
"SDSS J141444.74+605951.3",0.1834,0.011307365,"data/spec-0611-52055-0302.fits"
"SDSS J161650.37+445355.4",0.2228,0.014213404,"data/spec-0626-52057-0537.fits"
"SDSS J161616.64+384327.6",0.1217,0.01675174,"data/spec-0630-52050-0241.fits"
"SDSS J202036.69-053700.2",0.1252,0.059121672,"data/spec-0636-52176-0410.fits"
"SDSS J212100.60-074942.6",0.0886,0.035159368,"data/spec-0641-52199-0157.fits"
"SDSS J000013.75-095231.6",0.095,0.033011522,"data/spec-0656-52148-0311.fits"
"SDSS J010124.92-094516.3",0.1442,0.02997323,"data/spec-0663-52145-0102.fits"
"SDSS J222217.92-094407.8",0.1805,0.045338083,"data/spec-0718-52206-0038.fits"
"SDSS J212140.85+100929.2",0.1261,0.047550127,"data/spec-0731-52460-0206.fits"
"SDSS J212125.74+113129.4",0.1092,0.07989527,"data/spec-0733-52207-0065.fits"
"SDSS J000026.94+155329.6",0.0999,0.06652539,"data/spec-0752-52251-0380.fits"
"SDSS J080835.83+441356.6",0.1437,0.02480729,"data/spec-0762-52232-0558.fits"
"SDSS J080852.75+445025.9",0.2068,0.026707927,"data/spec-0762-52232-0577.fits"
"SDSS J080839.39+444654.5",0.2635,0.025007952,"data/spec-0762-52232-0579.fits"
"SDSS J090956.31+601741.4",0.1512,0.010828807,"data/spec-0770-52282-0196.fits"
"SDSS J111139.76+605742.5",0.112,0.01140522,"data/spec-0775-52295-0012.fits"
"SDSS J111121.36+612001.2",0.1112,0.03768413,"data/spec-0776-52319-0099.fits"
"SDSS J121236.22+614043.4",0.1353,0.014403052,"data/spec-0781-52373-0131.fits"
"SDSS J131346.00+610400.2",0.0713,0.014896465,"data/spec-0785-52339-0273.fits"
"SDSS J141412.94+585120.4",0.1706,0.010768409,"data/spec-0788-52338-0227.fits"
"SDSS J161625.55+460033.7",0.1531,0.01709607,"data/spec-0814-52443-0453.fits"
"SDSS J080842.36+360409.6",0.0758,0.05733158,"data/spec-0826-52295-0331.fits"
"SDSS J080845.21+370946.7",0.1546,0.036128577,"data/spec-0827-52312-0112.fits"
"SDSS J121212.85+044017.0",0.1246,0.018820267,"data/spec-0844-52378-0070.fits"
"SDSS J111133.48+495119.6",0.1345,0.013676519,"data/spec-0877-52353-0246.fits"
"SDSS J111126.97+512419.7",0.1296,0.019589776,"data/spec-0881-52368-0129.fits"
"SDSS J111142.47+511029.6",0.13,0.016508756,"data/spec-0881-52368-0241.fits"
"SDSS J121250.77+523913.1",0.0552,0.014044759,"data/spec-0886-52381-0589.fits"
"SDSS J080801.13+392126.1",0.2076,0.040640563,"data/spec-0894-52615-0034.fits"
"SDSS J080847.10+402527.3",0.1736,0.040188897,"data/spec-0895-52581-0004.fits"
"SDSS J080845.80+414540.0",0.2274,0.036953043,"data/spec-0895-52581-0341.fits"
"SDSS J141441.58-024950.7",0.1156,0.060484543,"data/spec-0916-52378-0017.fits"
"SDSS J080823.29+281815.8",0.1284,0.047656346,"data/spec-0929-52581-0570.fits"
"SDSS J080820.81+303050.5",0.1244,0.036996916,"data/spec-0931-52619-0305.fits"
"SDSS J080844.99+354942.0",0.0539,0.035915874,"data/spec-0934-52672-0388.fits"
"SDSS J111127.49+585613.4",0.1587,0.010137398,"data/spec-0951-52398-0491.fits"
"SDSS J111141.23+592748.3",0.1741,0.009422416,"data/spec-0952-52409-0591.fits"
"SDSS J171745.92+291715.3",0.105,0.044263184,"data/spec-0978-52431-0252.fits"
"SDSS J090900.25+042506.1",0.1564,0.04327719,"data/spec-0991-52707-0299.fits"
"SDSS J101002.08+055145.6",0.2085,0.023989266,"data/spec-0995-52731-0159.fits"
"SDSS J101043.36+061201.4",0.0977,0.02487123,"data/spec-0996-52641-0142.fits"
"SDSS J101002.51+071131.8",0.1204,0.020306272,"data/spec-0996-52641-0328.fits"
"SDSS J101003.81+071056.3",0.1083,0.024521416,"data/spec-0997-52734-0620.fits"
"SDSS J101008.19+060915.1",0.0522,0.030884912,"data/spec-1001-52670-0054.fits"
"SDSS J111151.03+065901.4",0.1815,0.03909972,"data/spec-1004-52723-0182.fits"
"SDSS J111126.62+540823.7",0.1076,0.011873983,"data/spec-1013-52707-0276.fits"
"SDSS J131338.09+545436.9",0.0883,0.018004278,"data/spec-1039-52707-0479.fits"
"SDSS J141407.21+492858.5",0.128,0.030810496,"data/spec-1047-52733-0399.fits"
"SDSS J161647.30+371621.2",0.1519,0.015626492,"data/spec-1056-52764-0617.fits"
"SDSS J080818.64+304622.7",0.0766,0.048379205,"data/spec-1061-52641-0059.fits"
"SDSS J141452.63+553138.9",0.1441,0.014511671,"data/spec-1162-52668-0470.fits"
"SDSS J141438.09+533015.8",0.037,0.011468769,"data/spec-1163-52669-0292.fits"
"SDSS J151507.33+520606.0",0.1378,0.02049194,"data/spec-1165-52703-0629.fits"
"SDSS J161603.43+402500.5",0.1321,0.007138085,"data/spec-1171-52753-0126.fits"
"SDSS J090935.11+072446.4",0.1897,0.051740177,"data/spec-1195-52724-0593.fits"
"SDSS J080819.46+385239.0",0.1276,0.028223893,"data/spec-1198-52669-0230.fits"
"SDSS J080852.92+255255.5",0.0811,0.033094965,"data/spec-1205-52670-0398.fits"
"SDSS J111112.39+084616.3",0.1004,0.03019851,"data/spec-1220-52723-0188.fits"
"SDSS J111145.66+101623.8",0.0699,0.030565728,"data/spec-1227-52733-0429.fits"
"SDSS J121243.44+092736.6",0.0829,0.019851768,"data/spec-1233-52734-0178.fits"
"SDSS J131322.78+474102.6",0.1314,0.017283164,"data/spec-1285-52723-0485.fits"
"SDSS J111126.42+580644.6",0.0645,0.025765883,"data/spec-1312-52781-0454.fits"
"SDSS J131304.01+570700.6",0.2407,0.0075550405,"data/spec-1321-52764-0407.fits"
"SDSS J131317.76+551807.1",0.1382,0.00874214,"data/spec-1322-52791-0240.fits"
"SDSS J161633.40+354708.3",0.1818,0.015997924,"data/spec-1338-52765-0196.fits"
"SDSS J121243.43+442438.8",0.1256,0.011956195,"data/spec-1371-52821-0166.fits"
"SDSS J131339.74+445235.0",0.0906,0.017591348,"data/spec-1375-53084-0544.fits"
"SDSS J141441.21+402632.5",0.0806,0.013631979,"data/spec-1379-53084-0443.fits"
"SDSS J151509.20+335324.7",0.1353,0.020253457,"data/spec-1386-53116-0526.fits"
"SDSS J151525.66+275343.4",0.0745,0.031619806,"data/spec-1391-52817-0267.fits"
"SDSS J151522.04+281323.1",0.1493,0.038957994,"data/spec-1391-52817-0471.fits"
"SDSS J151543.62+340228.3",0.1517,0.025515972,"data/spec-1417-53141-0124.fits"
"SDSS J161615.05+234942.9",0.1034,0.05595467,"data/spec-1424-52912-0515.fits"
"SDSS J101055.08+392047.1",0.2096,0.011794345,"data/spec-1428-52998-0550.fits"
"SDSS J101056.37+393941.0",0.1507,0.014547299,"data/spec-1432-53003-0274.fits"
"SDSS J121239.40+470627.6",0.0939,0.017672993,"data/spec-1451-53117-0190.fits"
"SDSS J080810.64+312136.2",0.1387,0.022002684,"data/spec-1590-52974-0397.fits"
"SDSS J090952.76+355358.9",0.1366,0.0115616545,"data/spec-1594-52992-0417.fits"
"SDSS J101055.34+110252.2",0.1453,0.018382823,"data/spec-1602-53117-0117.fits"
"SDSS J111148.31+111542.8",0.1628,0.021262296,"data/spec-1604-53078-0096.fits"
"SDSS J141441.30+334107.8",0.1312,0.014260345,"data/spec-1646-53498-0165.fits"
"SDSS J141419.41+322601.8",0.0873,0.016198812,"data/spec-1647-53531-0129.fits"
"SDSS J131333.36+121724.3",0.1204,0.03343561,"data/spec-1701-53142-0483.fits"
"SDSS J131346.10+102609.0",0.1232,0.030774321,"data/spec-1702-53144-0121.fits"
"SDSS J141429.88+133912.0",0.0851,0.022950625,"data/spec-1708-53503-0620.fits"
"SDSS J070742.37+392623.7",0.1103,0.05928596,"data/spec-1734-53034-0129.fits"
"SDSS J101013.14+124226.2",0.1481,0.031988967,"data/spec-1744-53055-0423.fits"
"SDSS J101034.22+140120.5",0.2061,0.03609917,"data/spec-1748-53112-0483.fits"
"SDSS J141438.63+051921.8",0.2002,0.03492525,"data/spec-1827-53531-0008.fits"
"SDSS J141445.73+353218.5",0.1654,0.014464236,"data/spec-1839-53471-0366.fits"
"SDSS J070740.96+505024.0",0.0544,0.0414852,"data/spec-1869-53327-0011.fits"
"SDSS J080811.22+223324.1",0.1734,0.041710228,"data/spec-1927-53321-0604.fits"
"SDSS J090946.03+283526.7",0.1422,0.023541857,"data/spec-1937-53388-0470.fits"
"SDSS J090944.18+300922.0",0.1298,0.02680675,"data/spec-1938-53379-0309.fits"
"SDSS J121230.40+384620.6",0.1024,0.011028844,"data/spec-1992-53466-0485.fits"
"SDSS J111159.51+370738.2",0.1282,0.019964192,"data/spec-2027-53433-0053.fits"
"SDSS J121241.39+314746.3",0.1156,0.02349477,"data/spec-2095-53474-0263.fits"
"SDSS J141437.85+301101.1",0.0922,0.016023269,"data/spec-2138-53757-0436.fits"
"SDSS J111149.57+254146.7",0.1511,0.019796055,"data/spec-2212-53789-0163.fits"
"SDSS J131358.90+262806.3",0.2229,0.0121946335,"data/spec-2244-53795-0113.fits"
"SDSS J090925.24+250658.0",0.1791,0.028129175,"data/spec-2341-53738-0427.fits"
"SDSS J090921.33+173753.2",0.128,0.026919456,"data/spec-2370-53764-0301.fits"
